k0_base,beta_loss_factor,Q_individual,seed,curve_sep_botanical_vs_random,curve_sep_botanical_vs_fractal,curve_sep_botanical_vs_voronoi,finding_holds
0.002,0.2,0.5,71,-0.3227,0.4865,0.1892,False
0.002,0.2,0.8,42,0.4407,0.6299,0.4021,False
0.002,0.2,0.8,43,0.0805,0.751,0.3777,False
0.002,0.2,0.8,44,2.0802,2.9233,2.0568,False
0.002,0.2,0.8,45,0.4673,0.9364,-0.17,False
0.002,0.2,0.8,46,0.3968,1.4865,0.4797,False
0.002,0.2,0.8,47,0.5689,1.4692,0.3578,False
0.002,0.2,0.8,48,0.4252,0.6514,-0.2545,False
0.002,0.2,0.8,49,0.4499,1.583,1.0822,False
0.002,0.2,0.8,50,0.7376,1.1307,-0.1111,False
0.002,0.2,0.8,51,0.4524,1.7315,0.2871,False
0.002,0.2,0.8,52,0.4134,2.7943,3.1257,False
0.002,0.2,0.8,53,-0.4892,0.5521,-0.2044,True
0.002,0.2,0.8,54,0.245,0.6598,0.3028,False
0.002,0.2,0.8,55,0.7305,1.2834,-0.0368,False
0.002,0.2,0.8,56,0.8719,1.407,-0.0047,False
0.002,0.2,0.8,57,1.5828,2.5187,0.5609,False
0.002,0.2,0.8,58,0.0284,1.2156,1.4108,False
0.002,0.2,0.8,59,0.2892,1.2461,0.7798,False
0.002,0.2,0.8,60,1.2617,0.7267,-0.2181,False
0.002,0.2,0.8,61,-0.4309,0.079,-0.3565,True
0.002,0.2,0.8,62,0.6466,1.3067,-0.0948,False
0.002,0.2,0.8,63,0.5308,1.9463,0.2271,False
0.002,0.2,0.8,64,-0.56,0.174,-0.4114,True
0.002,0.2,0.8,65,0.3697,0.8681,0.372,False
0.002,0.2,0.8,66,1.7404,1.6937,0.6909,False
0.002,0.2,0.8,67,-0.7056,0.1178,-0.4551,True
0.002,0.2,0.8,68,0.2382,0.6987,0.5832,False
0.002,0.2,0.8,69,0.9485,1.4356,0.1883,False
0.002,0.2,0.8,70,-0.3737,0.4702,0.2766,False
0.002,0.2,0.8,71,-0.3224,0.486,0.1882,False
0.002,0.2,1.2,42,0.4396,0.6287,0.3994,False
0.002,0.2,1.2,43,0.08,0.7491,0.3757,False
0.002,0.2,1.2,44,2.0744,2.9159,2.0481,False
0.002,0.2,1.2,45,0.4675,0.9359,-0.1696,False
0.002,0.2,1.2,46,0.3958,1.4816,0.4769,False
0.002,0.2,1.2,47,0.5672,1.4651,0.3566,False
0.002,0.2,1.2,48,0.4238,0.6499,-0.2546,False
0.002,0.2,1.2,49,0.4486,1.5785,1.0778,False
0.002,0.2,1.2,50,0.7356,1.1282,-0.1114,False
0.002,0.2,1.2,51,0.4518,1.7279,0.2861,False
0.002,0.2,1.2,52,0.4127,2.7873,3.1122,False
0.002,0.2,1.2,53,-0.489,0.5504,-0.2048,True
0.002,0.2,1.2,54,0.2441,0.6585,0.3011,False
0.002,0.2,1.2,55,0.7284,1.2799,-0.0373,False
0.002,0.2,1.2,56,0.8703,1.4038,-0.0048,False
0.002,0.2,1.2,57,1.5799,2.5138,0.5597,False
0.002,0.2,1.2,58,0.0282,1.2128,1.4048,False
0.002,0.2,1.2,59,0.2888,1.2437,0.7773,False
0.002,0.2,1.2,60,1.256,0.7246,-0.2186,False
0.002,0.2,1.2,61,-0.4304,0.0792,-0.3562,True
0.002,0.2,1.2,62,0.6448,1.303,-0.0952,False
0.002,0.2,1.2,63,0.5299,1.9416,0.2263,False
0.002,0.2,1.2,64,-0.5594,0.1738,-0.4111,True
0.002,0.2,1.2,65,0.3683,0.8656,0.3701,False
0.002,0.2,1.2,66,1.7363,1.6907,0.6896,False
0.002,0.2,1.2,67,-0.7054,0.1169,-0.4551,True
0.002,0.2,1.2,68,0.2375,0.697,0.5804,False
0.002,0.2,1.2,69,0.9466,1.4326,0.1875,False
0.002,0.2,1.2,70,-0.3734,0.4688,0.2744,False
0.002,0.2,1.2,71,-0.322,0.4853,0.1869,False
0.002,0.2,2.0,42,0.4373,0.6263,0.3939,False
0.002,0.2,2.0,43,0.0791,0.7453,0.3717,False
0.002,0.2,2.0,44,2.0628,2.9012,2.0308,False
0.002,0.2,2.0,45,0.4677,0.9347,-0.1687,False
0.002,0.2,2.0,46,0.3938,1.4719,0.4714,False
0.002,0.2,2.0,47,0.5637,1.457,0.3542,False
0.002,0.2,2.0,48,0.4209,0.6469,-0.2548,False
0.002,0.2,2.0,49,0.4459,1.5696,1.0692,False
0.002,0.2,2.0,50,0.7315,1.1233,-0.1119,False
0.002,0.2,2.0,51,0.4506,1.7208,0.2843,False
0.002,0.2,2.0,52,0.4112,2.7732,3.0855,False
0.002,0.2,2.0,53,-0.4885,0.5469,-0.2054,True
0.002,0.2,2.0,54,0.2424,0.6558,0.2977,False
0.002,0.2,2.0,55,0.7244,1.2729,-0.0384,False
0.002,0.2,2.0,56,0.8672,1.3974,-0.005,False
0.002,0.2,2.0,57,1.574,2.504,0.5574,False
0.002,0.2,2.0,58,0.0278,1.2073,1.3927,False
0.002,0.2,2.0,59,0.2878,1.2389,0.7723,False
0.002,0.2,2.0,60,1.2448,0.7206,-0.2195,False
0.002,0.2,2.0,61,-0.4295,0.0794,-0.3557,True
0.002,0.2,2.0,62,0.6413,1.2956,-0.0959,False
0.002,0.2,2.0,63,0.5281,1.9323,0.2248,False
0.002,0.2,2.0,64,-0.5582,0.1733,-0.4104,True
0.002,0.2,2.0,65,0.3655,0.8607,0.3664,False
0.002,0.2,2.0,66,1.728,1.6846,0.687,False
0.002,0.2,2.0,67,-0.705,0.1152,-0.4552,True
0.002,0.2,2.0,68,0.2361,0.6935,0.5749,False
0.002,0.2,2.0,69,0.9429,1.4265,0.1858,False
0.002,0.2,2.0,70,-0.373,0.4662,0.2701,False
0.002,0.2,2.0,71,-0.3212,0.484,0.1843,False
0.002,0.2,3.0,42,0.4344,0.6233,0.3871,False
0.002,0.2,3.0,43,0.078,0.7406,0.3667,False
0.002,0.2,3.0,44,2.0485,2.8829,2.0094,False
0.002,0.2,3.0,45,0.4681,0.9333,-0.1675,False
0.002,0.2,3.0,46,0.3913,1.4599,0.4645,False
0.002,0.2,3.0,47,0.5594,1.4469,0.3511,False
0.002,0.2,3.0,48,0.4173,0.6431,-0.2551,False
0.002,0.2,3.0,49,0.4425,1.5585,1.0585,False
0.002,0.2,3.0,50,0.7265,1.1172,-0.1126,False
0.002,0.2,3.0,51,0.449,1.7121,0.282,False
0.002,0.2,3.0,52,0.4094,2.7557,3.0525,False
0.002,0.2,3.0,53,-0.4878,0.5426,-0.2062,True
0.002,0.2,3.0,54,0.2402,0.6525,0.2935,False
0.002,0.2,3.0,55,0.7194,1.2643,-0.0397,False
0.002,0.2,3.0,56,0.8633,1.3895,-0.0053,False
0.002,0.2,3.0,57,1.5667,2.4919,0.5544,False
0.002,0.2,3.0,58,0.0273,1.2004,1.3778,False
0.002,0.2,3.0,59,0.2867,1.2329,0.7661,False
0.002,0.2,3.0,60,1.2309,0.7156,-0.2207,False
0.002,0.2,3.0,61,-0.4283,0.0798,-0.355,True
0.002,0.2,3.0,62,0.637,1.2864,-0.0969,False
0.002,0.2,3.0,63,0.5258,1.9207,0.2229,False
0.002,0.2,3.0,64,-0.5567,0.1728,-0.4095,True
0.002,0.2,3.0,65,0.362,0.8545,0.3617,False
0.002,0.2,3.0,66,1.7179,1.677,0.6838,False
0.002,0.2,3.0,67,-0.7045,0.1131,-0.4553,True
0.002,0.2,3.0,68,0.2343,0.6891,0.568,False
0.002,0.2,3.0,69,0.9381,1.4189,0.1837,False
0.002,0.2,3.0,70,-0.3725,0.463,0.2647,False
0.002,0.2,3.0,71,-0.3202,0.4824,0.181,False
0.002,0.25,0.5,42,0.4421,0.6251,0.4046,False
